,date,speechnumber,speaker,origin_pty,speech_terms,neg_emo,pos_emo,meta_beratung,meta_beschlem,meta_bericht_,meta_fragstun,meta_befragun,meta_aktustnd,meta_regerklr,meta_antwort_,meta_wahl____,meta_eidleist,fctn_afd,fctn_b90,fctn_cxu,fctn_fdp,fctn_lnk,fctn_spd,govt
64,10/11/2009,87,Kirsten Tackmann,lnk,667,13,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
65,10/11/2009,89,Ulrike Hï¿½ï¿½,b90,929,18,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,10/11/2009,91,Peter Bleser,cxu,1278,12,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
67,10/11/2009,93,Peter Bleser,cxu,44,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
68,10/11/2009,95,Elvira Drobinski-Weiï¿,spd,730,11,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
69,10/11/2009,97,Christel Happach-Kasan,fdp,874,11,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,10/11/2009,99,Caren Lay,lnk,541,6,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
71,10/11/2009,101,Johannes Rï¿½ï¿½,cxu,862,4,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72,10/11/2009,103,Wilhelm Priesmeier,spd,946,8,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
73,11/11/2009,2,Rainer Brï¿½ï¿½d,fdp,641,9,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
74,11/11/2009,4,Rainer Brï¿½ï¿½d,fdp,206,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
75,11/11/2009,6,Hubertus Heil,spd,2796,40,75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,11/11/2009,8,Michael Fuchs,cxu,1663,17,78,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
77,11/11/2009,10,Sahra Wagenknecht,lnk,837,12,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
78,11/11/2009,12,Sahra Wagenknecht,lnk,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
79,11/11/2009,14,Kerstin Andreae,b90,1471,22,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
80,11/11/2009,16,Hermann Otto Solms,fdp,789,10,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
81,11/11/2009,18,Ulla Lï¿½ï¿½,lnk,570,8,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
82,11/11/2009,20,Joachim Pfeiffer,cxu,1580,14,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
83,11/11/2009,22,Georg Nï¿½ï¿½ï¿,cxu,811,9,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
84,11/11/2009,24,Georg Nï¿½ï¿½ï¿,cxu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
85,11/11/2009,25,Ulrich Kelber,spd,142,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
86,11/11/2009,26,Georg Nï¿½ï¿½ï¿,cxu,548,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
87,11/11/2009,28,Norbert Rï¿½ï¿½t,cxu,2048,16,45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
88,11/11/2009,30,Ulrich Kelber,spd,881,10,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
89,11/11/2009,32,Michael Kauch,fdp,795,10,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
90,11/11/2009,34,Eva Bulling-Schrï¿½ï¿,lnk,653,8,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
91,11/11/2009,36,Bï¿½ï¿½rbel H,b90,1215,17,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
92,11/11/2009,38,Marie-Luise Dï¿½ï,cxu,972,7,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
93,11/11/2009,40,Marco Bï¿½ï¿,spd,496,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
94,11/11/2009,42,Marco Bï¿½ï¿,spd,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
95,11/11/2009,43,Michael Kauch,fdp,94,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
96,11/11/2009,44,Marco Bï¿½ï¿,spd,648,6,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
97,11/11/2009,46,Horst Meierhofer,fdp,1031,9,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,11/11/2009,48,Dorothï¿½ï¿½e Men,lnk,601,8,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
99,11/11/2009,50,Josef Gï¿½ï¿½,cxu,597,3,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,11/11/2009,52,Frank Schwabe,spd,1059,7,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
101,11/11/2009,54,Peter Ramsauer,cxu,1568,5,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
102,11/11/2009,56,Florian Pronold,spd,957,4,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
103,11/11/2009,58,Patrick Dï¿½ï¿½,fdp,1551,7,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
104,11/11/2009,60,Heidrun Bluhm,lnk,724,4,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
105,11/11/2009,62,Winfried Hermann,b90,1154,5,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
106,11/11/2009,64,Dirk Fischer,cxu,1037,9,38,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
107,11/11/2009,66,Uwe Beckmeyer,spd,760,12,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
108,11/11/2009,68,Uwe Beckmeyer,spd,113,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
109,11/11/2009,70,Peter Gï¿½ï,cxu,726,2,35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
110,11/11/2009,72,Sabine Leidig,lnk,802,7,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
111,11/11/2009,74,Sï¿½ï¿½ren Ba,spd,850,14,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
112,11/11/2009,76,Franz Josef Jung,cxu,1106,7,47,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
113,11/11/2009,78,Hubertus Heil,spd,1504,13,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
114,11/11/2009,80,Heinrich L. Kolb,fdp,1321,14,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
115,11/11/2009,82,Klaus Ernst,lnk,777,14,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
116,11/11/2009,84,Brigitte Pothmer,b90,869,16,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
117,11/11/2009,86,Brigitte Pothmer,b90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
118,11/11/2009,88,Markus Kurth,b90,60,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
119,11/11/2009,89,Brigitte Pothmer,b90,188,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
120,11/11/2009,91,Brigitte Pothmer,b90,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
121,11/11/2009,93,Brigitte Pothmer,b90,41,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
122,11/11/2009,95,Karl Schiewerling,cxu,478,4,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
123,11/11/2009,97,Karl Schiewerling,cxu,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
124,11/11/2009,99,Hubertus Heil,spd,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
125,11/11/2009,100,Karl Schiewerling,cxu,867,4,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
126,11/11/2009,102,Elke Ferner,spd,1249,9,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,11/11/2009,104,Johannes Vogel,fdp,726,13,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
128,11/11/2009,106,Katja Kipping,lnk,623,3,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
129,11/11/2009,108,Max Straubinger,cxu,557,3,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
130,11/11/2009,110,Max Straubinger,cxu,21,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
131,11/11/2009,112,Max Straubinger,cxu,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
132,11/11/2009,114,Anton Schaaf,spd,207,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
133,11/11/2009,115,Max Straubinger,cxu,216,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
